id,sms_phone,number,message
,,error,"Cannot read property 'match' of undefined"
,,error,"Cannot read property 'match' of undefined"
,,error,"Cannot read property 'match' of undefined"
,,error,"Cannot read property 'match' of undefined"
,,error,"Cannot read property 'match' of undefined"
,,error,"Cannot read property 'match' of undefined"
,,error,"Cannot read property 'match' of undefined"
,,error,"Cannot read property 'match' of undefined"
,,error,"Cannot read property 'match' of undefined"
,,error,"Cannot read property 'match' of undefined"
,,error,"Cannot read property 'match' of undefined"
,,error,"Cannot read property 'match' of undefined"
,,error,"Cannot read property 'match' of undefined"
,,error,"Cannot read property 'match' of undefined"
,,error,"Cannot read property 'match' of undefined"
,,error,"Cannot read property 'match' of undefined"
,,error,"Cannot read property 'match' of undefined"
,,error,"Cannot read property 'match' of undefined"
,,error,"Cannot read property 'match' of undefined"
,,error,"Cannot read property 'match' of undefined"
,,error,"Cannot read property 'match' of undefined"
,,error,"Cannot read property 'match' of undefined"
,,error,"Cannot read property 'match' of undefined"